XI-AAUS,357.73
XI-AFIF,7.05
XI-ANGA,345.97
XI-ARBA,358.68
XI-BAHI,359.97
XI-BARI,358.49
XI-BDAR,359.42
XI-BELA,0.87
XI-BIRH,359.18
XI-BUTA,359.21
XI-CHEF,357.48
XI-DELE,359.4
XI-DIYA,1.16
XI-DMRK,2.31
XI-FICH,355.79
XI-GOBA,1.58
XI-GUDE,2.44
XI-HALM,359.84
XI-HERO,8.31
XI-HIRN,359.83
XI-HOSA,358.03
XI-JIMA,357.99
XI-KAKA,1.83
XI-KARA,4.19
XI-KITU,353.71
XI-NARO,355.59
XI-NAZA,358.51
XI-NEKE,1.23
XI-RANI,2.49
XI-RAYN,359.42
XI-RIYD,359.97
XI-SELA,359.53
XI-SODA,0.19
XI-TAIF,1.25
XI-TALE,359.69
XI-TEND,359.51
XI-TERC,356.52
XI-UQSK,2.94
XI-WANE,359.57
XI-WASH,359.18
XI-WELK,2.62
XJ-KEN1,0.0
XJ-KEN2,348.27
XJ-KEN3,351.64
XJ-KEN4,354.09
XJ-LL21,357.0
XJ-LL22,4.9
XJ-LL23,353.94
XJ-LL24,357.76
XJ-LL65,2.74
XJ-LL66,4.95
XJ-LN14,353.99
XJ-LN15,358.02
XJ-LN16,356.33
XJ-LN25,354.7
XJ-LN26,357.05
XJ-LN34,357.31
XJ-LN35,359.0
XJ-LN45,356.51
XJ-LN46,357.12
XJ-MW36,358.79
XJ-MW41,359.04
XJ-MW42,0.55
XJ-MW43,352.77
XJ-MW44,37.79
XJ-NG54,355.63
XJ-NG55,355.57
XJ-NG56,354.88
XJ-PR11,357.22
XJ-PR12,2.41
XJ-PR13,356.58
XJ-PR31,1.97
XJ-PR32,359.34
XJ-PR33,355.41
XJ-PR52,356.6
XJ-PR53,0.61
XJ-PR61,353.41
XJ-PR62,354.95
XJ-PR63,0.35
XJ-PR64,357.64
XK-B01KR,0.24
XK-B02LT,1.45
XK-B03SL,354.19
XK-B04KH,358.6
XK-B05MO,351.28
XK-B06OR,354.17
XK-B07DX,346.96
XK-B08TS,351.47
XK-B09NK,359.63
XK-B10PP,2.98
XK-B11ET,355.75
XK-B12SS,3.42
XK-B13NX,1.73
XK-B14MH,357.77
XK-B15MW,355.85
XK-B1665,353.47
XK-B17CI,353.05
XK-Q01MP,5.24
XK-Q02GG,356.35
XK-Q03LC,5.92
XK-Q04NM,6.04
XK-Q05MJ,5.03
XK-Q05ML,344.62
XK-Q06MQ,8.18
XK-Q07MR,350.89
XK-W01PD,354.68
XK-W02NB,352.29
XK-W03BL,354.96
XK-W04VR,353.41
XK-W05SA,356.18
XK-W05SL,353.44
XK-W06SB,345.25
XK-W07CR,347.81
XK-W08KB,351.44
XK-W09TK,358.9
XK-W10LW,349.44
XK-W11KP,350.65
XK-W12MB,352.33
XK-W13CC,349.92
XK-W14MC,357.91
XK-W15SS,349.73
XK-Z01TG,350.42
XK-Z02PP,350.82
