net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km
IU,FURI,8.895,38.68,XW,TAMU,17.295,49.929,2332,1532.45
II,MBAR,-0.602,30.738,YY,BAHI,11.56,37.384,2937,1532.732
II,RAYN,23.522,45.503,MN,KEG,29.928,31.829,6072,1532.829
II,MBAR,-0.602,30.738,YY,MUKA,12.064,36.374,1034,1533.017
ZF,SEKE,12.622,39.033,IU,KMBO,-1.127,37.252,6963,1533.191
II,SUR,-32.38,20.812,XK,B13NX,-18.579,21.994,8129,1533.498
IU,KMBO,-1.127,37.252,ZE,BREE,12.17,41.188,6325,1533.536
II,SUR,-32.38,20.812,6A,WP21,-19.622,14.848,8140,1533.568
IU,KMBO,-1.127,37.252,ZE,BERE,12.171,41.189,1683,1533.673
XJ,KEN1,-1.941,36.693,YY,SHAW,11.93,36.87,2057,1534.091
II,SUR,-32.38,20.812,NR,NE204,-18.54,21.338,6820,1534.145
YY,SILA,12.744,36.989,IU,KMBO,-1.127,37.252,4103,1534.282
II,MBAR,-0.602,30.738,XK,Q05MJ,-13.395,36.126,1705,1534.501
II,MBAR,-0.602,30.738,XI,BAHI,11.574,37.393,3344,1534.562
ZP,MLBA,-1.838,31.67,IU,LSZ,-15.278,28.188,4939,1534.909
XJ,LL66,-2.612,35.484,YY,GUBA,11.271,35.289,1980,1535.417
XA,SA20,-29.022,26.195,IU,LSZ,-15.278,28.188,1903,1535.681
YA,KV04,-1.457,29.526,IU,LSZ,-15.278,28.188,4202,1535.694
IU,FURI,8.895,38.68,XW,SAYT,15.218,51.25,1639,1536.198
XA,SA05,-32.605,21.535,IU,TSUM,-19.202,17.584,3157,1536.38
XA,SA36,-26.877,30.125,IU,TSUM,-19.202,17.584,3509,1539.409
YY,MGNA,12.786,36.404,IU,KMBO,-1.127,37.252,1353,1541.502
XJ,LN16,-2.621,36.465,YY,GUBA,11.271,35.289,1595,1541.769
II,MBAR,-0.602,30.738,XK,Q05ML,-13.467,36.14,3762,1542.42
IU,KMBO,-1.127,37.252,2H,TRUE,12.481,40.315,7370,1542.51
YZ,TERE,12.483,40.314,IU,KMBO,-1.127,37.252,2750,1542.701
II,MBAR,-0.602,30.738,YY,SHAW,11.93,36.87,2332,1542.821
IU,KMBO,-1.127,37.252,ZE,TRUE,12.484,40.316,5060,1542.858
XA,SA22,-27.966,22.009,IU,LSZ,-15.278,28.188,858,1542.905
II,SUR,-32.38,20.812,6A,WP18,-19.175,15.884,7590,1543.598
IU,KMBO,-1.127,37.252,7C,DAY,11.753,42.638,792,1543.936
II,SUR,-32.38,20.812,6A,WP22,-19.885,13.949,5610,1544.075
TT,TATN,32.579,10.529,IU,PAB,39.545,-4.35,5621,1544.383
ZF,LYDE,12.055,41.926,IU,KMBO,-1.127,37.252,6688,1546.677
ZK,AD19,12.055,41.926,IU,KMBO,-1.127,37.252,4268,1546.677
ZP,SERJ,-13.228,30.215,IU,KMBO,-1.127,37.252,3938,1546.89
YA,KV08,-1.593,29.45,IU,FURI,8.895,38.68,3168,1547.123
II,ABPO,-19.018,47.229,YQ,NGEA,-10.675,35.674,5093,1547.63
II,SUR,-32.38,20.812,NR,NE205,-18.621,23.5,5060,1547.853
XA,SA19,-28.906,24.833,IU,LSZ,-15.278,28.188,1727,1548.032
II,ABPO,-19.018,47.229,XK,W03BL,-13.679,33.824,7579,1548.517
II,MBAR,-0.602,30.738,YY,MELA,12.396,35.96,2684,1548.931
XJ,KEN1,-1.941,36.693,YY,MUKA,12.064,36.374,660,1549.192
II,ABPO,-19.018,47.229,ZP,SONG,-10.674,35.651,5599,1549.683
6A,WP16,-17.334,13.838,IU,LSZ,-15.278,28.188,5225,1549.953
II,MBAR,-0.602,30.738,YJ,SHEE,10.0,39.895,2057,1550.393
YA,KV07,-1.558,29.365,IU,FURI,8.895,38.68,2948,1550.486
6A,WP04,-21.23,14.901,IU,LSZ,-15.278,28.188,6600,1550.863
II,RAYN,23.522,45.503,ZF,AKEE,10.888,39.168,2926,1551.396
8A,AROB,-26.798,19.647,IU,LSZ,-15.278,28.188,671,1552.752
XJ,MW44,-3.344,35.664,IU,LSZ,-15.278,28.188,7304,1553.801
II,MBAR,-0.602,30.738,ZF,MISE,9.237,40.759,6083,1555.03
II,MBAR,-0.602,30.738,YJ,MIEE,9.242,40.758,3377,1555.335
6A,WP11,-18.078,13.885,IU,LSZ,-15.278,28.188,5929,1556.283
IU,LSZ,-15.278,28.188,ZS,MALJ,-3.191,35.471,693,1557.312
XK,W14MC,-15.063,35.226,IU,KMBO,-1.127,37.252,7117,1557.351
IU,LSZ,-15.278,28.188,ZS,MANY,-3.396,35.812,1122,1557.542
II,MBAR,-0.602,30.738,XK,Q06MQ,-13.35,36.745,7458,1557.7
IU,KMBO,-1.127,37.252,ZE,SILE,12.407,41.188,8877,1558.659
YZ,SILE,12.407,41.188,IU,KMBO,-1.127,37.252,2618,1558.659
ZP,HAMA,-3.832,32.642,IU,FURI,8.895,38.68,1628,1558.757
XV,NAPU,-15.08,39.25,IU,KMBO,-1.127,37.252,5269,1558.775
ZF,MAYE,12.783,39.534,IU,KMBO,-1.127,37.252,6996,1558.84
IU,KMBO,-1.127,37.252,2H,MAYE,12.783,39.534,4499,1558.84
XJ,LN16,-2.621,36.465,AF,DESE,11.118,39.635,2464,1559.368
II,MBAR,-0.602,30.738,XK,W12MB,-14.085,34.911,7491,1560.416
IU,KMBO,-1.127,37.252,ZE,BARE,12.644,40.356,3234,1561.082
IU,KMBO,-1.127,37.252,2H,KOZE,12.495,40.985,9262,1561.923
II,SUR,-32.38,20.812,AF,BLWY,-20.143,28.611,12408,1562.358
II,SUR,-32.38,20.812,XA,SA72,-20.143,28.611,5038,1562.358
YY,GOND,13.0,37.448,IU,KMBO,-1.127,37.252,3861,1562.478
IU,LSZ,-15.278,28.188,ZS,ESIL,-3.446,35.975,1507,1562.546
XA,SA44,-26.032,30.902,IU,TSUM,-19.202,17.584,3069,1562.752
XJ,NG56,-3.096,35.409,IU,LSZ,-15.278,28.188,7469,1562.925
6A,WP03,-21.022,14.682,IU,LSZ,-15.278,28.188,6501,1563.154
II,SUR,-32.38,20.812,XK,B14MH,-18.295,21.792,8140,1563.447
ZP,KBLE,-1.254,29.992,IU,LSZ,-15.278,28.188,2959,1563.705
YZ,BOSE,12.642,40.524,IU,KMBO,-1.127,37.252,1672,1565.049
II,RAYN,23.522,45.503,XI,WANE,10.169,40.649,3608,1565.229
II,RAYN,23.522,45.503,XI,KARA,10.422,39.935,2761,1565.77
II,RAYN,23.522,45.503,YJ,KARE,10.422,39.935,1188,1565.77
6A,WP05,-20.544,14.462,IU,LSZ,-15.278,28.188,8173,1565.889
YZ,BOVE,12.657,40.521,IU,KMBO,-1.127,37.252,891,1566.586
ZP,MWEN,-10.058,28.702,IU,TSUM,-19.202,17.584,979,1566.646
IU,KMBO,-1.127,37.252,7C,MCH,11.73,43.212,1342,1567.224
XJ,PR61,-2.959,35.248,IU,LSZ,-15.278,28.188,7458,1567.262
II,ABPO,-19.018,47.229,XK,W10LW,-12.621,34.165,7535,1567.376
YA,KV05,-1.674,29.264,IU,FURI,8.895,38.68,2640,1567.54
AF,BOBN,-1.66,29.237,IU,FURI,8.895,38.68,9394,1568.382
YZ,BOOE,12.675,40.523,IU,KMBO,-1.127,37.252,781,1568.573
II,SUR,-32.38,20.812,NR,NE215,-18.784,25.196,935,1568.815
XJ,LN16,-2.621,36.465,YY,JAWI,11.571,36.491,2068,1569.448
XC,BRAN,-21.359,14.749,IU,LSZ,-15.278,28.188,1914,1570.964
XJ,LN16,-2.621,36.465,YY,BAHI,11.56,37.384,2145,1571.525
XJ,PR62,-2.983,35.374,IU,LSZ,-15.278,28.188,7447,1571.83
XJ,LL66,-2.612,35.484,YY,JAWI,11.571,36.491,2618,1572.406
II,ABPO,-19.018,47.229,XK,W02NB,-13.724,33.56,7546,1572.594
IU,LSZ,-15.278,28.188,XD,KOMO,-3.842,36.719,1727,1572.888
XJ,NG55,-3.142,35.687,IU,LSZ,-15.278,28.188,6677,1574.232
II,RAYN,23.522,45.503,YY,SHAW,11.93,36.87,5599,1575.023
II,MBAR,-0.602,30.738,ZF,AKEE,10.888,39.168,6105,1576.435
II,RAYN,23.522,45.503,XI,BAHI,11.574,37.393,3696,1576.87
8A,MALT,-24.846,16.996,IU,LSZ,-15.278,28.188,1133,1577.24
XJ,PR63,-2.993,35.507,IU,LSZ,-15.278,28.188,7469,1578.239
II,RAYN,23.522,45.503,YY,BAHI,11.56,37.384,6226,1578.703
II,MBAR,-0.602,30.738,XK,Q07MR,-13.197,37.499,7447,1579.958
YA,KV03,-1.903,29.347,IU,FURI,8.895,38.68,3311,1580.503
II,SUR,-32.38,20.812,XA,SA76,-20.636,29.846,6611,1580.767
XJ,LL66,-2.612,35.484,YY,BAHI,11.56,37.384,2695,1581.283
II,MBAR,-0.602,30.738,XI,HIRN,9.222,41.106,2739,1581.616
XJ,MW43,-3.205,35.946,IU,LSZ,-15.278,28.188,4246,1583.345
II,ABPO,-19.018,47.229,YQ,LIGA,-10.684,35.254,4675,1583.489
II,RAYN,23.522,45.503,YJ,GEWE,10.006,40.574,3806,1584.941
II,RAYN,23.522,45.503,ZF,GEWE,10.004,40.574,2178,1585.15
AF,LBB,-11.631,27.485,IU,KMBO,-1.127,37.252,5456,1585.449
XJ,LL66,-2.612,35.484,AF,DESE,11.118,39.635,2255,1586.407
IU,LSZ,-15.278,28.188,XD,HALE,-5.302,38.617,1331,1587.135
6A,WP25,-18.563,13.677,IU,LSZ,-15.278,28.188,4400,1587.433
XJ,KEN1,-1.941,36.693,YY,MELA,12.396,35.96,2486,1587.587
II,ABPO,-19.018,47.229,YQ,MBAM,-11.248,34.792,4741,1588.19
8A,SOLI,-23.861,16.04,IU,LSZ,-15.278,28.188,2134,1588.298
II,MBAR,-0.602,30.738,XI,KARA,10.422,39.935,2640,1588.543
II,ABPO,-19.018,47.229,YQ,BANG,-10.113,35.651,5071,1588.548
II,MBAR,-0.602,30.738,ZF,KORE,10.426,39.934,3652,1588.809
ZP,BKBA,-1.364,31.812,IU,LSZ,-15.278,28.188,5170,1589.6
II,SUR,-32.38,20.812,6A,WP08,-19.875,12.977,8096,1590.316
II,ABPO,-19.018,47.229,YQ,ZINI,-10.466,35.338,5060,1590.847
II,RAYN,23.522,45.503,YY,MELA,12.396,35.96,5599,1591.832
XJ,PR52,-2.959,35.702,IU,LSZ,-15.278,28.188,7337,1592.457
IU,FURI,8.895,38.68,XW,QISH,15.514,51.686,2332,1592.591
II,RAYN,23.522,45.503,YY,MUKA,12.064,36.374,4191,1594.022
6A,WP22,-19.885,13.949,IU,LSZ,-15.278,28.188,5610,1594.344
II,MBAR,-0.602,30.738,ZF,YAYE,11.861,37.996,2200,1594.859
6A,WP02,-21.305,14.475,IU,LSZ,-15.278,28.188,7777,1594.86
YA,KV01,-2.078,29.351,IU,FURI,8.895,38.68,2420,1594.914
XJ,NG54,-2.732,35.36,IU,LSZ,-15.278,28.188,7425,1595.249
XA,SA17,-28.932,23.226,IU,LSZ,-15.278,28.188,2530,1595.733
II,ABPO,-19.018,47.229,YH,MANG,-7.198,38.773,4400,1596.043
II,RAYN,23.522,45.503,YY,MERT,10.876,38.266,2761,1596.351
IU,KMBO,-1.127,37.252,7C,OBO2,11.985,43.291,1364,1596.413
XJ,LL66,-2.612,35.484,YY,ABMD,11.832,35.583,1925,1597.36
XJ,PR64,-2.801,35.533,IU,LSZ,-15.278,28.188,2948,1598.074
IU,KMBO,-1.127,37.252,ZE,RODE,12.842,40.983,5742,1598.876
XJ,KEN1,-1.941,36.693,YY,SERE,12.513,37.028,2673,1598.889
IU,KMBO,-1.127,37.252,2H,BIME,12.842,40.984,2211,1598.905
ZF,SMRE,13.198,39.211,IU,KMBO,-1.127,37.252,4125,1598.93
IU,FURI,8.895,38.68,XW,MADQ,16.207,51.397,5379,1600.322
II,MBAR,-0.602,30.738,ZF,GEWE,10.004,40.574,4620,1600.946
II,MBAR,-0.602,30.738,YJ,GEWE,10.006,40.574,3311,1601.106
XJ,LN16,-2.621,36.465,YY,ABMD,11.832,35.583,1397,1601.295
II,SUR,-32.38,20.812,8A,OMUT,-18.409,16.636,8063,1603.307
XJ,MW36,-3.016,35.998,IU,LSZ,-15.278,28.188,7491,1604.141
II,SUR,-32.38,20.812,AF,RUDU,-17.91,19.765,660,1606.412
II,ABPO,-19.018,47.229,XK,W09TK,-12.108,34.046,7535,1606.426
6A,WP23,-19.124,13.614,IU,LSZ,-15.278,28.188,5665,1606.917
II,SUR,-32.38,20.812,6A,WP19,-19.044,14.479,5797,1607.376
II,MBAR,-0.602,30.738,YY,MGNA,12.786,36.404,1804,1607.393
XJ,MW42,-3.04,36.101,IU,LSZ,-15.278,28.188,3740,1607.956
II,MBAR,-0.602,30.738,YY,SERE,12.513,37.028,2981,1608.265
6A,WP15,-17.004,13.244,IU,LSZ,-15.278,28.188,5951,1609.342
IU,KMBO,-1.127,37.252,2H,HITE,13.101,40.317,6116,1609.489
XJ,LN16,-2.621,36.465,YY,SHAW,11.93,36.87,1727,1609.782
XJ,PR53,-2.854,35.835,IU,LSZ,-15.278,28.188,7150,1610.004
6A,WP27,-17.434,13.274,IU,LSZ,-15.278,28.188,4851,1610.745
II,RAYN,23.522,45.503,YJ,SHEE,10.0,39.895,2673,1610.861
II,ABPO,-19.018,47.229,YQ,TIRI,-10.763,34.883,5016,1610.92
XJ,MW41,-3.23,36.445,IU,LSZ,-15.278,28.188,6974,1611.105
II,ABPO,-19.018,47.229,XK,W08KB,-11.61,34.296,7546,1611.559
XJ,LL66,-2.612,35.484,IU,LSZ,-15.278,28.188,6589,1613.561
XJ,LL66,-2.612,35.484,YY,SHAW,11.93,36.87,2123,1615.459
AF,UPI,-28.362,21.253,IU,LSZ,-15.278,28.188,18469,1615.479
XJ,PR31,-2.919,36.048,IU,LSZ,-15.278,28.188,7425,1616.187
II,MBAR,-0.602,30.738,XK,W13CC,-14.548,35.181,7491,1618.081
II,MBAR,-0.602,30.738,XI,WANE,10.169,40.649,3300,1619.861
II,ABPO,-19.018,47.229,YQ,MKIL,-10.881,34.681,4719,1621.287
II,MBAR,-0.602,30.738,ZF,QATE,9.375,41.469,4543,1622.438
6A,WP26,-18.229,13.274,IU,LSZ,-15.278,28.188,3960,1622.793
II,RAYN,23.522,45.503,ZF,QATE,9.375,41.469,2244,1623.443
XJ,LN45,-2.993,36.292,IU,LSZ,-15.278,28.188,6479,1623.731
XJ,KEN1,-1.941,36.693,YY,SILA,12.744,36.989,2585,1624.345
YZ,ABAE,13.353,39.763,IU,KMBO,-1.127,37.252,3201,1625.193
YY,CASA,13.566,36.966,IU,KMBO,-1.127,37.252,1276,1625.253
IU,KMBO,-1.127,37.252,2H,ABAE,13.354,39.764,11704,1625.321
ZF,ABAE,13.354,39.764,IU,KMBO,-1.127,37.252,6710,1625.321
XJ,LL66,-2.612,35.484,YY,MUKA,12.064,36.374,704,1625.97
II,SUR,-32.38,20.812,6A,WP20,-18.687,14.946,8041,1626.641
II,MBAR,-0.602,30.738,AF,DESE,11.118,39.635,13926,1627.601
II,MBAR,-0.602,30.738,ZF,DERE,11.118,39.635,5676,1627.601
XJ,PR32,-2.875,36.181,IU,LSZ,-15.278,28.188,4807,1628.136
II,ABPO,-19.018,47.229,XK,W01PD,-13.707,33.006,7557,1628.347
XJ,LL22,-2.52,35.599,IU,LSZ,-15.278,28.188,5632,1628.704
XJ,KEN1,-1.941,36.693,YY,MGNA,12.786,36.404,1375,1628.975
XJ,PR33,-2.839,36.14,IU,LSZ,-15.278,28.188,7007,1629.097
XK,W15SS,-15.682,34.975,IU,KMBO,-1.127,37.252,7084,1629.141
II,MBAR,-0.602,30.738,YY,SILA,12.744,36.989,2893,1629.432
XJ,LL65,-2.418,35.434,IU,LSZ,-15.278,28.188,7381,1629.614
ZP,MKUS,-13.604,29.379,IU,KMBO,-1.127,37.252,1342,1629.907
II,RAYN,23.522,45.503,YY,JAWI,11.571,36.491,5038,1631.141
XJ,LN34,-2.751,36.048,IU,LSZ,-15.278,28.188,7436,1632.011
XA,SA02,-33.735,20.266,IU,TSUM,-19.202,17.584,2090,1632.092
IU,LSZ,-15.278,28.188,ZU,LWND,-2.745,36.041,781,1632.171
II,MBAR,-0.602,30.738,ZF,GASE,11.681,38.921,3344,1632.183
AF,KTWE,-12.814,28.209,IU,KMBO,-1.127,37.252,12650,1632.639
II,SUR,-32.38,20.812,XA,SA77,-20.756,30.919,3443,1632.829
IU,KMBO,-1.127,37.252,2H,AFME,13.204,40.858,9757,1634.138
IU,KMBO,-1.127,37.252,ZE,AFME,13.204,40.858,8778,1634.138
YZ,AFDE,13.207,40.857,IU,KMBO,-1.127,37.252,1782,1634.433
XA,SA16,-28.95,22.195,IU,LSZ,-15.278,28.188,847,1634.541
II,SUR,-32.38,20.812,6A,WP23,-19.124,13.614,5665,1635.297
II,SUR,-32.38,20.812,6A,WP24,-19.33,13.157,6006,1635.425
II,SUR,-32.38,20.812,8A,NEPA,-17.77,18.46,7480,1635.612
XJ,LN26,-2.61,35.878,IU,LSZ,-15.278,28.188,7436,1635.633
XJ,KEN1,-1.941,36.693,G,ATD,11.53,42.847,5170,1638.025
ZP,KIBO,-3.583,30.713,IU,FURI,8.895,38.68,5192,1638.812
ES,EOSO,28.072,-15.553,IU,PAB,39.545,-4.35,59829,1638.889
IU,LSZ,-15.278,28.188,ZS,MGWE,-3.91,37.789,924,1639.452
XJ,PR11,-2.823,36.299,IU,LSZ,-15.278,28.188,7381,1639.998
XJ,LN35,-2.63,36.006,IU,LSZ,-15.278,28.188,7436,1641.028
XJ,LL66,-2.612,35.484,XV,SENA,-17.445,35.032,1694,1641.478
6A,WP12,-17.865,13.028,IU,LSZ,-15.278,28.188,6501,1642.531
II,SACV,14.97,-23.609,IU,MACI,28.25,-16.508,34573,1642.938
II,ABPO,-19.018,47.229,ZP,WINO,-9.758,35.3,5071,1643.252
II,ABPO,-19.018,47.229,YQ,WINO,-9.758,35.3,4983,1643.252
ZF,ADYE,13.635,38.981,IU,KMBO,-1.127,37.252,6996,1643.69
IU,FURI,8.895,38.68,XW,GHDI,15.638,52.162,1419,1644.558
XJ,PR12,-2.825,36.383,IU,LSZ,-15.278,28.188,2486,1644.83
XA,SA03,-33.662,21.335,IU,TSUM,-19.202,17.584,2585,1644.855
XJ,LN46,-3.007,36.677,IU,LSZ,-15.278,28.188,6787,1645.943
XJ,LN25,-2.501,35.886,IU,LSZ,-15.278,28.188,7414,1646.469
XJ,LN16,-2.621,36.465,XV,SENA,-17.445,35.032,2519,1647.202
II,MBAR,-0.602,30.738,IU,LSZ,-15.278,28.188,38940,1647.217
II,ABPO,-19.018,47.229,XV,MSGR,-23.83,32.18,5280,1647.452
II,ABPO,-19.018,47.229,YQ,BUMI,-10.128,34.936,4235,1648.562
XJ,PR13,-2.843,36.479,IU,LSZ,-15.278,28.188,869,1648.94
II,RAYN,23.522,45.503,XI,HIRN,9.222,41.106,2871,1650.352
IU,KMBO,-1.127,37.252,2H,ERTE,13.446,40.497,8261,1650.988
ZF,ERTE,13.446,40.497,IU,KMBO,-1.127,37.252,1870,1650.988
XJ,LN15,-2.628,36.185,IU,LSZ,-15.278,28.188,7403,1651.569
XA,SA15,-29.904,25.032,IU,LSZ,-15.278,28.188,1375,1651.648
6A,WP07,-20.364,13.52,IU,LSZ,-15.278,28.188,8140,1652.723
II,RAYN,23.522,45.503,YJ,INEE,9.895,39.143,3795,1652.777
XJ,KEN1,-1.941,36.693,YY,GOND,13.0,37.448,2299,1654.44
II,ABPO,-19.018,47.229,YQ,MAND,-10.478,34.6,5082,1654.519
XJ,LL23,-2.297,35.69,IU,LSZ,-15.278,28.188,7436,1655.152
ZP,LWNG,-10.25,29.921,IU,TSUM,-19.202,17.584,1309,1655.7
IU,KMBO,-1.127,37.252,2H,GPSE,13.488,40.528,3322,1656.263
IU,FURI,8.895,38.68,XW,TABU,15.932,52.138,2376,1656.462
II,ABPO,-19.018,47.229,YH,IFAK,-8.14,36.683,2684,1657.23
6A,WP24,-19.33,13.157,IU,LSZ,-15.278,28.188,6006,1658.911
II,RAYN,23.522,45.503,YJ,MIEE,9.242,40.758,4312,1659.131
II,RAYN,23.522,45.503,YJ,ANKE,9.593,39.734,4444,1659.218
IU,KMBO,-1.127,37.252,2H,GULE,13.694,39.588,4422,1659.249
II,RAYN,23.522,45.503,XI,BDAR,9.672,39.525,2915,1659.455
II,RAYN,23.522,45.503,XI,BIRH,9.672,39.525,748,1659.455
II,RAYN,23.522,45.503,ZF,MISE,9.237,40.759,2904,1659.627
II,RAYN,23.522,45.503,AF,ANKE,9.583,39.742,12936,1659.936
II,MBAR,-0.602,30.738,ZF,WUCE,11.512,39.606,2959,1660.359
II,MBAR,-0.602,30.738,ZF,BTIE,11.195,40.022,6171,1660.484
II,MBAR,-0.602,30.738,2H,BTIE,11.195,40.022,1353,1660.484
XJ,LL66,-2.612,35.484,YY,MELA,12.396,35.96,2552,1660.548
XJ,LN16,-2.621,36.465,YY,MELA,12.396,35.96,2002,1661.648
XC,CAPN,-21.759,13.968,IU,LSZ,-15.278,28.188,1859,1662.754
8A,KETS,-26.841,17.944,IU,LSZ,-15.278,28.188,2167,1663.311
XJ,LL24,-2.266,35.807,IU,LSZ,-15.278,28.188,7436,1664.554
8A,HELM,-25.881,16.828,IU,LSZ,-15.278,28.188,2156,1665.693
II,RAYN,23.522,45.503,YY,ABMD,11.832,35.583,5522,1666.277
II,ABPO,-19.018,47.229,YQ,MUDI,-9.862,34.937,4664,1666.755
XJ,LN16,-2.621,36.465,IU,LSZ,-15.278,28.188,6864,1668.749
6A,WP17,-18.777,12.933,IU,LSZ,-15.278,28.188,5357,1669.01
II,MBAR,-0.602,30.738,ZF,HYNE,9.315,42.096,2585,1669.751
XJ,LL21,-2.063,35.551,IU,LSZ,-15.278,28.188,5467,1670.301
II,RAYN,23.522,45.503,YJ,MELE,9.311,40.201,4235,1670.928
II,MBAR,-0.602,30.738,ZF,LALE,12.026,39.038,4664,1670.943
XA,SA14,-29.868,24.023,IU,LSZ,-15.278,28.188,1661,1671.09
ZP,MAUS,-2.741,36.704,IU,LSZ,-15.278,28.188,7634,1672.081
II,ABPO,-19.018,47.229,YH,CHAL,-6.64,38.367,3575,1672.301
II,SACV,14.97,-23.609,ES,EOSO,28.072,-15.553,43307,1672.334
YR,QALY,12.695,53.488,IU,FURI,8.895,38.68,3575,1672.627
II,SUR,-32.38,20.812,NR,NE206,-17.8,25.162,5885,1673.173
IU,LSZ,-15.278,28.188,XD,LONG,-2.725,36.698,1815,1673.189
II,MBAR,-0.602,30.738,XK,W14MC,-15.063,35.226,7469,1673.825
XJ,LN16,-2.621,36.465,YY,SERE,12.513,37.028,2189,1674.809
II,ABPO,-19.018,47.229,YQ,KIFA,-9.547,35.103,4543,1674.814
IU,FURI,8.895,38.68,XW,DERU,16.836,51.834,2387,1675.149
II,ABPO,-19.018,47.229,YQ,MFRI,-9.294,35.313,3476,1675.544
II,SUR,-32.38,20.812,XA,SA79,-20.021,30.517,3465,1676.039
II,ABPO,-19.018,47.229,XK,Z11CP,-13.564,32.589,7524,1676.059
II,MBAR,-0.602,30.738,YY,GOND,13.0,37.448,2618,1676.797
II,ABPO,-19.018,47.229,XK,W07CR,-10.684,34.193,7535,1677.497
IU,FURI,8.895,38.68,XW,GHAD,16.246,52.205,1221,1678.571
II,ABPO,-19.018,47.229,YQ,NIND,-10.142,34.579,5071,1678.604
IU,KMBO,-1.127,37.252,2H,GALE,13.725,40.394,6941,1678.721
II,RAYN,23.522,45.503,XI,DMRK,10.308,37.729,5731,1679.472
XA,SA01,-34.294,19.246,IU,TSUM,-19.202,17.584,4950,1680.315
XJ,LL66,-2.612,35.484,YY,SERE,12.513,37.028,2739,1681.348
IU,FURI,8.895,38.68,XW,TINA,16.526,52.082,2376,1681.47
II,RAYN,23.522,45.503,XI,FICH,9.782,38.737,3707,1682.267
XJ,LN14,-2.439,36.415,IU,LSZ,-15.278,28.188,7172,1682.809
IU,KMBO,-1.127,37.252,2H,HALE,13.842,40.008,6710,1683.167
ZF,HALE,13.842,40.008,IU,KMBO,-1.127,37.252,2167,1683.167
II,SUR,-32.38,20.812,6A,WP09,-19.109,12.591,6842,1684.228
ZP,KATE,-0.138,29.871,IU,LSZ,-15.278,28.188,4323,1684.691
II,RAYN,23.522,45.503,YY,CHGE,10.961,36.518,6248,1685.477
II,MBAR,-0.602,30.738,ZF,WLDE,11.824,39.587,836,1686.902
AF,PKA,-29.67,22.757,IU,LSZ,-15.278,28.188,12980,1688.203
II,MBAR,-0.602,30.738,XI,DIYA,11.834,39.596,2761,1688.373
II,SUR,-32.38,20.812,6A,WP25,-18.563,13.677,4400,1689.235
II,MBAR,-0.602,30.738,ZF,ELLE,11.258,40.378,3443,1690.489
AF,CNG,-26.292,32.188,IU,TSUM,-19.202,17.584,9746,1691.242
6A,WP08,-19.875,12.977,IU,LSZ,-15.278,28.188,8096,1692.029
II,RAYN,23.522,45.503,YJ,KOTE,9.388,39.396,4059,1693.881
II,RAYN,23.522,45.503,YJ,BEDE,8.909,40.771,4323,1693.942
II,MBAR,-0.602,30.738,ZE,CHIE,11.598,40.019,5445,1695.246
ZP,MPIK,-11.821,31.452,IU,TSUM,-19.202,17.584,1078,1695.994
II,ABPO,-19.018,47.229,ZP,MIKU,-7.404,36.99,4499,1696.371
6A,WP13,-18.16,12.558,IU,LSZ,-15.278,28.188,8085,1696.432
II,RAYN,23.522,45.503,YY,GUBL,11.179,36.005,1991,1697.05
6A,WP14,-17.217,12.428,IU,LSZ,-15.278,28.188,8063,1697.864
XJ,KEN3,-2.093,36.119,IU,LSZ,-15.278,28.188,5093,1698.496
AF,DODT,-6.186,35.748,IU,FURI,8.895,38.68,24354,1699.118
II,ABPO,-19.018,47.229,XK,Z10KW,-13.499,32.383,5852,1699.395
II,ABPO,-19.018,47.229,ZP,MGOR,-6.828,37.67,3696,1700.005
II,MBAR,-0.602,30.738,ZP,KAMZ,-14.795,24.804,1727,1700.104
XJ,LN16,-2.621,36.465,YY,SILA,12.744,36.989,2101,1700.194
ZP,SAKA,-0.315,31.737,IU,LSZ,-15.278,28.188,3916,1700.315
II,SUR,-32.38,20.812,6A,WP17,-18.777,12.933,5357,1700.756
II,ABPO,-19.018,47.229,YQ,KIDE,-9.274,35.021,5126,1701.229
AF,POGA,-27.346,31.707,IU,TSUM,-19.202,17.584,9130,1701.281
IU,FURI,8.895,38.68,XW,KARE,17.157,51.926,2354,1701.581
XJ,LN16,-2.621,36.465,YY,MGNA,12.786,36.404,1089,1703.867
II,RAYN,23.522,45.503,ZF,AWSE,8.99,40.17,2827,1705.611
II,RAYN,23.522,45.503,XI,WASH,8.99,40.166,3619,1705.753
II,RAYN,23.522,45.503,YJ,AWAE,8.99,40.166,2629,1705.753
XJ,LL66,-2.612,35.484,YY,MGNA,12.786,36.404,1441,1705.892
II,MBAR,-0.602,30.738,ZF,ADTE,11.122,40.757,4972,1705.9
II,SUR,-32.38,20.812,8A,HAO,-17.887,15.06,7183,1706.191
XJ,LL66,-2.612,35.484,YY,SILA,12.744,36.989,2651,1706.342
II,ABPO,-19.018,47.229,YQ,UWEM,-9.47,34.786,4477,1707.0
II,ABPO,-19.018,47.229,YQ,UNDA,-9.854,34.474,5049,1707.145
XV,TETE,-16.13,33.57,IU,KMBO,-1.127,37.252,4499,1707.891
XA,SA13,-29.979,23.14,IU,LSZ,-15.278,28.188,2453,1708.075
II,MBAR,-0.602,30.738,ZK,AD01,11.315,40.571,3850,1708.855
AF,TETE,-16.147,33.577,IU,KMBO,-1.127,37.252,2288,1709.534
