net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km
II,ASCN,-7.933,-14.36,XB,PM26,32.525,-4.566,13618,4596.404
IU,KMBO,-1.127,37.252,XS,S019,38.259,23.065,5137,4597.696
ZV,CHAA,-7.591,31.27,IU,KOWA,14.497,-4.014,2849,4598.285
YR,ADHO,17.242,54.284,IU,LSZ,-15.278,28.188,2596,4598.53
GT,DBIC,6.67,-4.857,XJ,LL66,-2.612,35.484,6677,4598.879
XZ,S04,17.444,54.042,IU,LSZ,-15.278,28.188,3157,4599.229
II,ASCN,-7.933,-14.36,XA,SA05,-32.605,21.535,2299,4599.627
XJ,LL66,-2.612,35.484,YB,AT21,38.927,34.525,5577,4600.275
II,MBAR,-0.602,30.738,YD,STEC,38.943,16.926,2233,4600.755
XJ,LL66,-2.612,35.484,YB,AT40,38.849,32.451,5753,4601.116
II,MBAR,-0.602,30.738,HL,KEK,39.713,19.796,13563,4601.206
XK,B14MH,-18.295,21.792,IU,KOWA,14.497,-4.014,3520,4601.287
YR,MADO,17.199,54.381,IU,LSZ,-15.278,28.188,3685,4601.535
II,MSEY,-4.674,55.479,8A,OTJO,-20.018,15.98,10571,4601.635
YB,AT55,37.084,35.087,IU,KOWA,14.497,-4.014,2662,4602.244
YB,AT54,37.476,34.882,IU,KOWA,14.497,-4.014,2662,4602.257
ZV,KALA,-8.134,30.97,IU,KOWA,14.497,-4.014,3850,4602.561
XB,CM08,3.909,9.863,IU,ANTO,39.868,32.793,2079,4603.014
YY,MERT,10.876,38.266,IU,KOWA,14.497,-4.014,3872,4603.698
XZ,S08,17.113,54.523,IU,LSZ,-15.278,28.188,1111,4604.043
XJ,LN16,-2.621,36.465,YB,AT21,38.927,34.525,5577,4604.526
YB,AT19,39.735,33.581,IU,KOWA,14.497,-4.014,2640,4604.596
IU,KMBO,-1.127,37.252,XS,S126,38.46,23.497,1287,4604.656
II,ASCN,-7.933,-14.36,XA,SA70,-21.088,26.335,1716,4604.895
II,ASCN,-7.933,-14.36,AF,LBB,-11.631,27.485,7150,4605.105
XZ,S09,16.986,54.697,IU,LSZ,-15.278,28.188,3905,4605.4
IU,LSZ,-15.278,28.188,XW,MIRB,16.986,54.697,2431,4605.4
II,MSEY,-4.674,55.479,XA,SA08,-31.91,22.073,3850,4605.848
YR,NNMO,17.356,54.253,IU,LSZ,-15.278,28.188,3421,4606.082
IU,KMBO,-1.127,37.252,XS,S035,38.661,24.108,5115,4606.796
XJ,LL66,-2.612,35.484,KO,GURO,38.551,42.032,6226,4606.954
IU,KMBO,-1.127,37.252,XS,S021,38.361,23.089,5137,4607.433
II,ASCN,-7.933,-14.36,XA,SA13,-29.979,23.14,4752,4607.608
II,ASCN,-7.933,-14.36,XA,SA08,-31.91,22.073,4180,4608.546
IU,KMBO,-1.127,37.252,XS,S020,38.318,22.91,5137,4608.83
XJ,KEN1,-1.941,36.693,YB,AT06,39.673,35.666,5566,4609.041
IU,TSUM,-19.202,17.584,XW,KHAW,13.808,43.254,2156,4609.847
XJ,LN16,-2.621,36.465,YB,AT40,38.849,32.451,5709,4610.023
II,SUR,-32.38,20.812,XI,ARBA,6.067,37.556,5566,4610.075
IU,KMBO,-1.127,37.252,XS,S032,38.591,23.758,5170,4610.133
II,MSEY,-4.674,55.479,XA,SA81,-30.925,21.268,2310,4610.614
XA,SA13,-29.979,23.14,IU,FURI,8.895,38.68,6369,4612.079
II,ASCN,-7.933,-14.36,XB,PM31,32.706,-4.72,1474,4612.165
XJ,LN16,-2.621,36.465,YB,AT03,39.03,37.596,2453,4613.111
II,ASCN,-7.933,-14.36,XB,PM31A,32.719,-4.739,10450,4613.114
XJ,KEN1,-1.941,36.693,YB,AT01,39.724,36.711,5566,4613.51
XZ,S07,17.255,54.488,IU,LSZ,-15.278,28.188,3355,4613.615
KO,BALB,39.64,27.88,IU,KMBO,-1.127,37.252,13354,4614.266
XZ,S06,17.621,54.051,IU,LSZ,-15.278,28.188,3377,4614.942
YR,SAHO,17.114,54.68,IU,LSZ,-15.278,28.188,3674,4614.974
XZ,S10,17.503,54.204,IU,LSZ,-15.278,28.188,3839,4615.241
XJ,LL66,-2.612,35.484,YB,AT03,39.03,37.596,2519,4615.746
XJ,LL66,-2.612,35.484,YB,AT13,39.077,35.315,5379,4615.907
II,ASCN,-7.933,-14.36,NR,NE220,-23.363,25.86,10967,4616.698
II,ASCN,-7.933,-14.36,BX,LPHEP,-23.363,25.86,7799,4616.698
II,ASCN,-7.933,-14.36,XA,SA24,-27.883,24.236,4785,4616.785
II,RAYN,23.522,45.503,ZP,KMPZ,-13.457,25.834,1463,4617.425
XJ,LN16,-2.621,36.465,YB,AT13,39.077,35.315,5368,4618.376
II,MBAR,-0.602,30.738,YD,PIAN,38.958,16.397,1474,4619.171
ZP,MLBA,-1.838,31.67,IU,ANTO,39.868,32.793,1221,4619.53
YB,AT31,38.573,34.508,IU,KOWA,14.497,-4.014,2651,4621.235
IU,KMBO,-1.127,37.252,XS,S037,38.921,24.53,4697,4621.559
II,SUR,-32.38,20.812,YY,NGLE,5.332,39.574,7238,4622.274
YB,AT45,37.688,35.02,IU,KOWA,14.497,-4.014,2662,4622.684
XJ,LL66,-2.612,35.484,HL,ITM,37.179,21.925,6666,4623.199
II,ASCN,-7.933,-14.36,XA,SA38,-25.933,25.085,4323,4623.293
XJ,LL66,-2.612,35.484,YB,AT07,39.145,36.222,5621,4624.043
XJ,LN16,-2.621,36.465,YB,AT07,39.145,36.222,5456,4624.486
IU,KMBO,-1.127,37.252,XS,S025,38.566,23.213,5115,4624.609
II,MBAR,-0.602,30.738,XG,HAMR,39.614,42.993,3091,4624.975
XJ,KEN1,-1.941,36.693,YB,AT19,39.735,33.581,5566,4625.66
YR,SOOO,17.077,54.885,IU,LSZ,-15.278,28.188,3454,4626.095
II,ASCN,-7.933,-14.36,XB,PM25,32.876,-4.888,10120,4626.52
II,ASCN,-7.933,-14.36,MN,MDT,32.817,-4.614,5258,4626.579
YR,DAHO,17.526,54.351,IU,LSZ,-15.278,28.188,3652,4627.194
II,ASCN,-7.933,-14.36,XA,SA66,-21.9,26.373,1716,4628.468
II,RAYN,23.522,45.503,ZP,MUFZ,-13.144,25.021,2178,4628.816
II,MBAR,-0.602,30.738,MN,TIP,39.179,16.758,31988,4630.446
YB,AT20,39.364,34.157,IU,KOWA,14.497,-4.014,2640,4630.899
IU,KMBO,-1.127,37.252,XS,S033,38.723,23.491,5159,4632.092
XJ,LL66,-2.612,35.484,YB,AT29,39.179,33.378,5753,4632.233
XA,SA12,-29.849,22.253,IU,FURI,8.895,38.68,5775,4634.105
II,MSEY,-4.674,55.479,8A,HAO,-17.887,15.06,8910,4634.854
II,MSEY,-4.674,55.479,XC,OUTN,-20.151,15.689,2233,4634.976
ZV,KASA,-8.438,31.147,IU,KOWA,14.497,-4.014,3234,4637.186
II,ASCN,-7.933,-14.36,XA,SA09,-30.922,22.986,2299,4637.971
YB,AT21,38.927,34.525,IU,KOWA,14.497,-4.014,2629,4638.98
XJ,LN16,-2.621,36.465,YB,AT29,39.179,33.378,5665,4639.002
YB,AT32,38.297,34.889,IU,KOWA,14.497,-4.014,2640,4639.042
