Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
YD,CO22,39.4926,16.3051,0,17,1,1
YD,GERM,39.3203,16.6674,0,18,1,1
YD,MMNN,39.8909,15.9904,0,15,1,1
YD,PIAN,38.9576,16.3968,0,16,1,1
YD,STEC,38.9426,16.9257,0,22,1,1
YF,ABSA,36.2765,7.4734,1,132,1,1
YF,APER,35.5504,27.1741,0,46,1,1
YF,CDLV,29.1631,-13.4439,1,78,1,1
YF,GHAR,32.1224,13.0885,1,91,1,1
YF,ITHO,37.1786,21.9252,0,45,1,1
YF,KOUM,37.7041,26.8377,0,21,1,1
YF,MARJ,32.5226,20.8776,1,68,1,1
YH,CHAL,-6.6403,38.367,1,289,1,1
YH,IFAK,-8.1397,36.6828,1,279,1,1
YH,INDI,-10.0167,39.7149,1,319,1,1
YH,KIMA,-8.9199,39.5141,1,286,1,1
YH,MANG,-7.1981,38.7733,1,320,1,1
YH,MOHO,-8.1426,39.1832,1,319,1,1
YH,MTWA,-10.2776,40.194,1,292,1,1
YH,WALE,-9.7896,37.917,1,311,1,1
YI,AAIR,-9.9546,33.8955,1,108,1,1
YI,SCH,-10.1757,34.0324,1,133,1,1
YJ,ADEE,7.7909,39.9068,1,96,1,1
YJ,ADUE,8.5403,38.9019,1,95,1,1
YJ,AMME,8.3031,39.0934,1,89,1,1
YJ,ANKE,9.5927,39.7339,1,101,1,1
YJ,AREE,8.9385,39.4188,1,94,1,1
YJ,ASEE,7.9729,39.1317,1,62,1,1
YJ,AWAE,8.9895,40.1659,1,69,1,1
YJ,BEDE,8.9086,40.771,1,98,1,1
YJ,BORE,8.7458,39.554,1,95,1,1
YJ,BUTE,8.117,38.3824,1,67,1,1
YJ,CHAE,9.3118,38.7624,1,95,1,1
YJ,DEBE,8.78027,38.995899,1,0,0,0
YJ,DIKE,8.0627,39.5566,1,97,1,1
YJ,DONE,8.509,39.5504,1,95,1,1
YJ,DZEE,8.7803,38.9959,1,86,1,1
YJ,GEWE,10.006,40.5743,1,93,1,1
YJ,GTFE,9.0034,39.8376,1,96,1,1
YJ,HIRE,9.2221,41.1059,1,0,1,0
YJ,INEE,9.8954,39.1431,1,101,1,1
YJ,KARE,10.4224,39.9349,1,64,1,1
YJ,KOTE,9.3875,39.3961,1,95,1,1
YJ,LEME,8.6115,38.6095,1,83,1,1
YJ,MECE,8.5938,40.3241,1,98,1,1
YJ,MEKE,8.1623,38.833,1,96,1,1
YJ,MELE,9.3106,40.2008,1,96,1,1
YJ,MIEE,9.2416,40.7581,1,98,1,1
YJ,NURE,8.7312,39.7956,1,95,1,1
YJ,SENE,9.1466,39.0166,1,97,1,1
YJ,SHEE,9.9996,39.8946,1,85,1,1
YJ,WOLE,8.53394,37.98222,1,65,0,1
YL,GOCE,39.743,34.348,0,134,1,1
YQ,BAKO,-8.8437,34.8016,1,263,1,1
YQ,BANG,-10.1128,35.6506,1,262,1,1
YQ,BUMI,-10.1277,34.9365,1,252,1,1
YQ,CHML,-8.8261,34.0283,1,340,1,1
YQ,CHUN,-8.5434,33.4337,1,223,1,1
YQ,CRTR,-9.3318,33.7513,1,341,1,1
YQ,GAWA,-8.7648,34.3864,1,261,1,1
YQ,IGOM,-9.0,33.6573,1,335,1,1
YQ,ILIN,-9.0818,33.3327,1,343,1,1
YQ,ILOM,-9.2829,33.3421,1,338,1,1
YQ,ISOK,-9.509,33.4944,1,337,1,1
YQ,ITUM,-9.4005,33.188,1,260,1,1
YQ,JILO,-8.7261,33.5663,1,339,1,1
YQ,KIDE,-9.2745,35.0214,1,260,1,1
YQ,KIFA,-9.5472,35.1026,1,258,1,1
YQ,KIMO,-10.6922,36.0463,1,257,1,1
YQ,KIPE,-9.2936,34.4364,1,346,1,1
YQ,KURU,-11.1996,35.4577,1,264,1,1
YQ,LIGA,-10.6835,35.2545,1,260,1,1
YQ,LOSI,-8.3872,33.1682,1,261,1,1
YQ,MAKE,-9.2647,34.0968,1,344,1,1
YQ,MAND,-10.4782,34.6005,1,260,1,1
YQ,MATA,-8.9593,33.9689,1,342,1,1
YQ,MBAM,-11.2484,34.7919,1,260,1,1
YQ,MBEY,-8.9996,33.2504,1,343,1,1
YQ,MBHS,-9.4309,33.9846,1,342,1,1
YQ,MFRI,-9.2944,35.3129,1,215,1,1
YQ,MKIL,-10.8807,34.6813,1,259,1,1
YQ,MUDI,-9.8621,34.9373,1,257,1,1
YQ,MZUN,-9.1502,33.5213,1,340,1,1
YQ,NGEA,-10.6754,35.6744,1,261,1,1
YQ,NIND,-10.1421,34.5792,1,260,1,1
YQ,NKAL,-9.1881,33.7736,1,340,1,1
YQ,TIRI,-10.7626,34.8831,1,259,1,1
YQ,TOLA,-9.5921,34.5841,1,258,1,1
YQ,UKWA,-9.4539,34.2158,1,345,1,1
YQ,UNDA,-9.8536,34.4738,1,258,1,1
YQ,UWEM,-9.4696,34.7859,1,257,1,1
YQ,WINO,-9.7576,35.3001,1,259,1,1
YQ,ZINI,-10.4659,35.3383,1,259,1,1
YR,ABAY,12.6046,54.3228,0,64,1,1
YR,ADHO,17.2421,54.2845,0,60,1,1
YR,ALE,9.4214,42.0347,1,0,1,0
YR,AYDO,16.9884,53.3599,0,61,1,1
YR,AYNO,17.2559,53.894,0,62,1,1
YR,BANO,17.6889,54.4384,0,30,1,1
YR,DAHO,17.5256,54.3511,0,61,1,1
YR,DMTO,17.7303,55.074,0,61,1,1
YR,DSS,11.118,39.6351,1,0,1,0
YR,GDR,12.559,37.454,1,0,1,0
YR,HADO,17.2229,55.1937,0,61,1,1
YR,HASO,17.4923,55.219,0,0,1,0
YR,HAYO,17.1835,53.3401,0,61,1,1
YR,MADO,17.1989,54.3812,0,61,1,1
YR,MDYO,17.4646,53.3583,0,54,1,1
YR,MUGO,16.9013,53.7742,0,61,1,1
YR,NNMO,17.3561,54.2534,0,62,1,1
YR,QALY,12.695,53.488,0,64,1,1
YR,RAHO,17.0565,53.807,0,62,1,1
YR,SAHO,17.1143,54.6795,0,61,1,1
YR,SAY,15.3548,44.1999,0,0,1,0
YR,SHIO,17.1891,54.1655,0,52,1,1
YR,SOOO,17.0773,54.8847,0,61,1,1
YR,TQHO,17.0634,54.4296,0,61,1,1
YR,YAF,13.8711,45.2497,0,0,1,0
YV,RUM1,-22.802,47.718,0,170,0,0
YV,RUM2,-22.137,48.002,0,0,0,0
YV,RUM3,-23.799,47.546,0,253,0,0
YV,RUM4,-24.277,47.316,0,213,0,0
YV,RUM5,-24.784,47.085,0,255,0,0
YV,EURO,-22.344,40.34,0,276,0,1
YV,JNOV,-17.054,42.713,0,0,0,0
YV,MAYO,-12.846,45.187,0,0,0,0
YV,GLOR,-11.582,47.29,0,0,0,0
YY,ABMD,11.832,35.583,1,303,2,1
YY,ASOS,10.9011,34.5644,1,284,2,1
YY,BAHI,11.56,37.384,1,316,2,1
YY,CASA,13.566,36.966,1,222,2,1
YY,CHGE,10.9614,36.5184,1,316,2,1
YY,CHRH,12.564,36.401,1,0,2,0
YY,DAQU,13.145,37.898,1,187,2,1
YY,DEBR,10.635,35.662,1,309,2,1
YY,DLMN,6.424,39.856,1,284,2,1
YY,GIDA,8.98,34.61,1,326,2,1
YY,GINR,7.13,40.715,1,271,2,1
YY,GOND,13.0,37.448,1,314,2,1
YY,GORE,8.15,35.533,1,326,2,1
YY,GUBA,11.271,35.289,1,322,2,1
YY,GUBL,11.179,36.005,1,253,2,1
YY,HARO,9.847,36.31,1,331,2,1
YY,HDBU,9.376,35.651,1,277,2,1
YY,JAWI,11.571,36.491,1,293,2,1
YY,KIRE,9.957,36.869,1,331,2,1
YY,MDBA,12.575,36.156,1,0,0,0
YY,MELA,12.396,35.96,1,291,2,1
YY,MEND,9.787,35.112,1,314,2,1
YY,MERT,10.876,38.266,1,227,2,1
YY,MGNA,12.786,36.404,1,264,2,1
YY,MUKA,12.064,36.374,1,263,2,1
YY,NEKE,9.089,36.524,1,336,2,1
YY,NGLE,5.332,39.574,1,284,2,1
YY,SERE,12.513,37.028,1,319,2,1
YY,SHAW,11.93,36.87,1,297,2,1
YY,SHER,10.594,34.786,1,321,2,1
YY,SILA,12.744,36.989,1,309,2,1
YY,TABO,11.855,38.019,1,0,2,0
YY,WADE,5.785,39.312,1,284,2,1
YZ,ABAE,13.3528,39.7627,1,152,1,1
YZ,AFDE,13.20733,40.85717,1,146,0,1
YZ,AWRE,12.06597,40.071541,1,0,0,0
YZ,BOOE,12.6753,40.5231,1,60,1,1
YZ,BOSE,12.6421,40.5243,1,93,1,1
YZ,BOVE,12.657,40.5212,1,60,1,1
YZ,SEME,11.7918,41.0034,1,148,1,1
YZ,SILE,12.4069,41.1879,1,150,1,1
YZ,TERE,12.4832,40.3144,1,150,1,1
ZE,AFME,13.204,40.8585,1,264,1,1
ZE,ALEE,12.4106,40.598202,1,0,0,0
ZE,AWEE,12.0673,40.0719,1,206,1,1
ZE,BARE,12.6443,40.3556,1,133,1,1
ZE,BERE,12.1707,41.1886,1,98,1,1
ZE,BREE,12.1704,41.1883,1,204,1,1
ZE,CHIE,11.5979,40.0188,1,261,1,1
ZE,DAME,11.6868,40.9625,1,199,1,1
ZE,DIGE,12.3279,40.2734,1,263,1,1
ZE,FINE,12.0681,40.316,1,268,1,1
ZE,HARE,11.6072,40.884,1,254,1,1
ZE,MEGE,11.4906,41.3381,1,0,1,0
ZE,MILE,11.4238,40.765,1,195,1,1
ZE,RODE,12.8415,40.9826,1,208,1,1
ZE,SEHE,12.0401,40.9769,1,210,1,1
ZE,SEME,11.7926,41.0044,1,263,1,1
ZE,SILE,12.407,41.1879,1,262,1,1
ZE,SULE,12.7351,41.139599,1,0,0,0
ZE,TRUE,12.4841,40.3161,1,189,1,1
ZF,ABAE,13.3535,39.7635,1,215,1,1
ZF,ADTE,11.1221,40.757,1,210,1,1
ZF,ADYE,13.635,38.9811,1,215,1,1
ZF,AFRE,-24.212,28.883,1,0,0,0
ZF,AKEE,10.8883,39.168,1,213,1,1
ZF,ASYE,11.5607,41.4422,1,124,1,1
ZF,AWSE,8.9897,40.17,1,209,1,1
ZF,BOBE,10.3798,42.5724,1,145,1,1
ZF,BTIE,11.1949,40.0218,1,211,1,1
ZF,DERE,11.1179,39.6353,1,208,1,1
ZF,DICE,11.9136,41.5737,1,212,1,1
ZF,ELLE,11.2579,40.3784,1,139,1,1
ZF,ERTE,13.4463,40.4969,1,114,1,1
ZF,GASE,11.6813,38.9211,1,155,1,1
ZF,GEWE,10.0045,40.5739,1,213,1,1
ZF,HALE,13.8422,40.0077,1,125,1,1
ZF,HYNE,9.3148,42.0962,1,136,1,1
ZF,KOBE,12.1506,39.6298,1,133,1,1
ZF,KORE,10.4265,39.9344,1,143,1,1
ZF,LALE,12.0258,39.0375,1,212,1,1
ZF,LYDE,12.0546,41.9257,1,214,1,1
ZF,MAYE,12.7832,39.5343,1,213,1,1
ZF,MISE,9.2369,40.7591,1,215,1,1
ZF,QATE,9.3753,41.4691,1,213,1,1
ZF,SEKE,12.6217,39.0334,1,215,1,1
ZF,SMEE,11.7926,41.0043,1,0,1,0
ZF,SMRE,13.1977,39.2111,1,155,1,1
ZF,SRDE,11.9579,41.31,1,195,1,1
ZF,WLDE,11.8243,39.5874,1,111,1,1
ZF,WUCE,11.5116,39.6064,1,133,1,1
ZF,YAYE,11.8608,37.9965,1,147,1,1
ZK,AD01,11.315,40.571,1,283,2,1
ZK,AD02,11.349,40.688,1,310,2,1
ZK,AD03,11.422,40.766,1,304,2,1
ZK,AD04,11.537,40.841,1,141,2,1
ZK,AD05,11.608,40.906,1,298,2,1
ZK,AD06,11.675,40.94,1,298,2,1
ZK,AD07,11.727,40.99,1,246,2,1
ZK,AD08,11.776,41.029,1,299,2,1
ZK,AD09,11.817,41.05,1,299,2,1
ZK,AD10,11.9,41.137,1,300,2,1
ZK,AD11,11.742,41.296,1,246,2,1
ZK,AD13,11.958,41.31,1,302,2,1
ZK,AD14,11.939,41.455,1,302,2,1
ZK,AD15,11.88,41.707,1,307,0,1
ZK,AD16,11.82,41.753,1,307,2,1
ZK,AD17,11.742,41.837,1,307,2,1
ZK,AD18,11.908,41.791,1,307,2,1
ZK,AD19,12.055,41.926,1,302,2,1
ZP,BEND,0.581,31.392,1,136,1,1
ZP,BIHA,-2.638,31.316,1,173,1,1
ZP,BKBA,-1.364,31.812,1,172,1,1
ZP,BUTI,1.819,31.326,1,138,1,1
ZP,CHAM,-10.9505,31.0691,1,248,1,1
ZP,CHIM,-8.8263,34.0284,1,269,1,1
ZP,FOPO,0.663,30.282,1,141,1,1
ZP,GABZ,-12.171,26.367,1,298,1,1
ZP,GEIT,-2.881,32.217,1,174,1,1
ZP,HAMA,-3.832,32.642,1,114,1,1
ZP,IRIN,-7.762,35.6864,1,285,1,1
ZP,ISOK,-10.1708,32.6457,1,299,1,1
ZP,JNJA,0.446,33.182,1,148,1,1
ZP,KAMZ,-14.7948,24.8044,1,256,1,1
ZP,KASM,-10.2174,31.1401,1,267,1,1
ZP,KATE,-0.138,29.871,1,140,1,1
ZP,KBLE,-1.254,29.992,1,129,1,1
ZP,KGMA,-4.878,29.633,1,325,1,1
ZP,KIBO,-3.583,30.713,1,166,1,1
ZP,KISH,-12.0219,29.6123,1,299,1,1
ZP,KISZ,-12.1116,25.4952,1,279,1,1
ZP,KMPZ,-13.4568,25.8337,1,296,1,1
ZP,KYLA,-9.5986,33.8673,1,202,1,1
ZP,LAEL,-8.566,32.0591,1,297,1,1
ZP,LOSS,-8.4166,33.1575,1,276,1,1
ZP,LWNG,-10.2498,29.921,1,289,1,1
ZP,MAFI,-8.3057,35.3132,1,275,1,1
ZP,MAKA,-8.8465,34.8302,1,145,1,1
ZP,MALE,1.07,34.167,1,146,1,1
ZP,MANS,-11.14,28.8749,1,299,1,1
ZP,MAUS,-2.741,36.704,1,294,1,1
ZP,MGOR,-6.8279,37.6696,1,252,1,1
ZP,MIKU,-7.4035,36.9902,1,286,1,1
ZP,MKRE,-4.282,30.424,1,146,1,1
ZP,MKUS,-13.6035,29.3791,1,231,1,1
ZP,MLBA,-1.838,31.67,1,165,1,1
ZP,MPIK,-11.821,31.4517,1,294,1,1
ZP,MUFZ,-13.1442,25.0213,1,298,1,1
ZP,MWEN,-10.0582,28.7017,1,223,1,1
ZP,NAMA,-7.5094,31.0414,1,286,1,1
ZP,NJOM,-9.3665,34.7911,1,305,1,1
ZP,PIGI,0.231,32.319,1,181,1,1
ZP,PNDA,-6.3519,31.0613,1,285,1,1
ZP,ROTI,1.626,33.6,1,149,1,1
ZP,SAKA,-0.315,31.737,1,135,1,1
ZP,SERJ,-13.2275,30.215,1,298,1,1
ZP,SHWG,-11.1925,31.7397,1,272,1,1
ZP,SONG,-10.6738,35.6507,1,305,1,1
ZP,SULU,-4.573,30.087,1,149,1,1
ZP,SUMB,-7.9531,31.6195,1,160,1,1
ZP,TUND,-9.2958,32.7712,1,283,1,1
ZP,UVZA,-5.1049,30.3934,1,228,1,1
ZP,WINO,-9.7576,35.3001,1,246,1,1
ZS,AICH,-3.686,35.538,1,111,0,0
ZS,ARSH,-3.386,36.721,1,0,0,0
ZS,BASH,-4.004,35.3511,1,0,0,0
ZS,BUKU,-3.90117,34.5209,1,0,0,0
ZS,COFF,-3.39481,36.8746,1,0,0,0
ZS,ENDA,-3.37611,35.337,1,0,0,0
ZS,ESIL,-3.446,35.975,1,113,0,1
ZS,GIDA,-3.737,35.064,1,107,0,0
ZS,GLAI,-2.72133,36.1129,1,0,0,0
ZS,GLUM,-2.62114,36.1814,1,0,0,0
ZS,KRTU,-3.356,35.396,1,0,0,0
ZS,KWSI,-3.473,36.205,1,0,0,0
ZS,LESI,-3.38,36.487,1,0,0,0
ZS,LGDO,-2.725,36.698,1,0,0,0
ZS,OLKO,-3.345,37.104,1,0,0,0
ZS,LWON,-2.743,36.036,1,0,0,0
ZS,MAGA,-3.81,35.691,1,0,0,0
ZS,MALJ,-3.191,35.471,1,70,0,0
ZS,MANG,-3.493,35.393,1,0,0,0
ZS,MANY,-3.396,35.812,1,92,0,1
ZS,MARN,-3.627,35.273,1,73,0,0
ZS,MBUL,-3.878,35.514,1,0,0,0
ZS,MGWE,-3.91,37.789,1,86,0,0
ZS,MINJ,-3.728,35.908,1,0,0,0
ZS,MKAO,-3.408,34.741,1,0,0,0
ZS,MLLA,-3.231,36.861,1,0,0,0
ZS,MONG,-3.911,35.254,1,118,0,1
ZS,MOSH,-3.305,37.329,1,0,0,0
ZS,MWAB,-3.839,34.644,1,0,0,0
ZS,NAIT,-3.603,36.083,1,0,0,0
ZS,NGRE,-3.033,36.866,1,0,0,0
ZS,NOON,-2.993,36.292,1,0,0,0
ZS,OSIN,-3.368,35.038,1,0,0,0
ZS,SELE,-3.217,35.95,1,0,0,0
ZS,SIMA,-3.562,37.026,1,0,0,0
ZS,SOPA,-3.154,35.76,1,0,0,0
ZS,TREE,-3.97,35.747,1,0,0,0
ZT,CRAIL,-22.80259,28.24304,1,0,0,0
ZT,DULL,-25.36478,30.17588,1,0,0,0
ZT,HOED,-24.41274,30.93244,1,0,0,0
ZT,KEIT,-23.399585,28.875164,1,0,0,0
ZT,LESE,-24.4152,29.7445,1,180,1,1
ZT,MARA,-24.415186,29.744509,1,0,0,0
ZT,MARK,-24.461632,27.575478,1,0,0,0
ZT,MPHEP,-23.589013,28.391223,1,0,0,0
ZT,MRCO,-22.906549,30.174919,1,0,0,0
ZT,MTLB,-25.47234,26.400268,1,0,0,0
ZT,NHAM,-23.81433,27.05694,1,0,0,0
ZT,NYAT,-24.91566,27.31703,1,0,0,0
ZT,NYLS,-25.36745,27.5669,1,0,0,0
ZT,PUMBA,-24.659246,28.703229,1,0,0,0
ZT,RUST,-23.700916,29.527368,1,0,0,0
ZT,SCHUN,-25.23919,28.52397,1,0,0,0
ZT,SHUDU,-24.825484,29.361029,1,0,0,0
ZT,TSWA,-24.37585,28.15278,1,0,0,0
ZT,TZAN,-25.42153,28.07967,1,0,0,0
ZT,VERL,-23.928297,30.173907,1,0,0,0
ZT,VOET,-24.789976,28.378838,1,0,0,0
ZT,WALT,-25.456695,29.438377,1,0,0,0
ZT,WTBG,-26.090527,27.84521,1,0,0,0
ZU,LWND,-2.7454,36.0408,1,84,1,1
ZV,CHAA,-7.5911,31.2704,1,244,1,1
ZV,KALA,-8.1337,30.9701,1,259,1,1
ZV,KARA,-6.8216,30.4394,1,260,1,1
ZV,KASA,-8.4383,31.1473,1,259,1,1
ZV,KIPA,-7.4322,30.591,1,256,1,1
ZV,KISA,-7.1901,31.0231,1,253,1,1
ZV,KOLA,-7.1687,30.5375,1,254,1,1
ZV,LAEA,-8.5768,32.0422,1,258,1,1
ZV,NAMA,-7.6236,30.6592,1,255,1,1
ZV,NEMA,-7.5201,31.0442,1,252,1,1
ZV,NINA,-7.6889,30.7241,1,257,1,1
ZV,SITA,-6.6192,31.1427,1,260,1,1
ZV,SUMA,-7.9639,31.6252,1,257,1,1
