Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
7C,AIR,11.147,42.162,1,194,0,1
7C,ARTA,11.526,42.847,1,236,0,1
7C,ASE,11.004,42.104,1,247,0,1
7C,ATA2,11.454,42.203,1,235,0,1
7C,BLS,11.591,42.518,1,235,0,0
7C,DAF2,11.608,42.529,1,170,0,0
7C,DAO,11.76,42.14,1,251,0,1
7C,DAY,11.753,42.638,1,151,0,1
7C,DLM,11.615,42.549,1,210,0,1
7C,FIEA,11.589,42.507,1,230,0,1
7C,FIK2,11.592,42.511,1,290,0,0
7C,GAG,11.534,42.326,1,0,0,0
7C,GID,11.401,42.314,1,0,0,0
7C,GOR,11.288,42.223,1,281,0,1
7C,KKO,11.519,42.422,1,229,0,1
7C,LDL2,11.584,42.499,1,211,0,1
7C,MCH,11.73,43.212,0,147,0,1
7C,MOY2,11.63,42.492,1,239,0,1
7C,NRAE,11.642,42.578,1,285,0,1
7C,OBO2,11.985,43.291,1,240,0,1
7C,ODK2,11.597,42.486,1,206,0,1
7C,PCKD,11.535,42.445,1,0,0,0
7C,PGMD,11.617,42.556,1,0,0,0
7C,PTLY,11.559,42.497,1,0,0,0
7C,PTRF,11.552,42.486,1,0,0,0
7C,PTRN,11.598,42.513,1,0,0,0
7C,RAND,11.847,42.663,1,0,0,0
7C,SBLV,11.578,42.495,1,0,0,0
7C,WADA,11.557,42.455,1,0,0,0
7C,WAY,11.677,42.599,1,0,0,0
7C,YOB,11.51,42.106,1,0,0,0
8A,AIAI,-27.915554,17.491323,1,121,2,1
8A,AROB,-26.798342,19.647346,1,73,2,1
8A,ARON,-24.135471,19.119961,1,119,2,1
8A,BAHE,-21.3521,15.4405,1,239,2,1
8A,GAMM,-20.2505,20.8253,1,239,2,1
8A,HAO,-17.8869,15.0599,1,234,2,1
8A,HELM,-25.880621,16.828016,1,120,2,1
8A,HOCH,-21.4902,17.8531,1,235,2,1
8A,KANO,-19.194901,19.4398,1,147,2,1
8A,KETS,-26.841192,17.9436,1,121,2,1
8A,MALT,-24.846022,16.996233,1,119,2,1
8A,MARI,-24.598499,17.931368,1,120,2,1
8A,NEPA,-17.7703,18.4597,1,225,1,1
8A,OKAM,-20.407301,18.2187,1,237,2,1
8A,OMUT,-18.4093,16.6364,1,236,2,1
8A,OTJO,-20.018,15.9799,1,237,2,1
8A,SOLI,-23.861238,16.039537,1,120,2,1
8A,WAND,-24.649982,19.743595,1,118,2,1
8A,WEWE,-21.209,16.809099,1,234,2,1
AF,AAUS,9.0349,38.7665,1,797,1,1
AF,ANKE,9.5827,39.7418,1,742,1,1
AF,BLWY,-20.143,28.611,1,689,1,1
AF,BOBN,-1.66,29.2367,1,426,1,1
AF,CNG,-26.2917,32.1883,1,374,1,1
AF,CRLN,-25.9949,30.022699,1,174,2,1
AF,CVNA,-31.482,19.762,1,532,1,1
AF,DESE,11.118,39.635,1,832,1,1
AF,DODT,-6.186,35.748,1,849,1,1
AF,EKNA,4.234,9.328,0,417,1,1
AF,GETA,-2.866,33.241,1,514,1,1
AF,GRHM,-33.276688,26.376724,1,135,2,1
AF,GRM,-33.313,26.508,1,370,1,1
AF,HARE,-17.704,31.009,1,127,1,1
AF,HVD,-30.605,25.497,1,498,1,1
AF,IFE,7.5467,4.4569,1,397,1,1
AF,KAD,10.4305,7.6403,1,306,1,1
AF,KIG,-1.9634,30.0633,1,0,1,0
AF,KTWE,-12.814,28.209,1,706,1,1
AF,KUKU,6.1923,-0.3684,1,642,1,1
