Network,Station,Latitude,Longitude,In_africa
TT,TATN,32.5787,10.5292,1
WM,CART,37.5868,-1.0012,0
WM,MAHO,39.8959,4.2665,0
XA,SA01,-34.2945,19.246,1
XA,SA02,-33.7351,20.2663,1
XA,SA03,-33.6619,21.3354,1
XA,SA04,-32.8505,19.6206,1
XA,SA05,-32.605,21.5346,1
XA,SA07,-31.9776,20.2262,1
XA,SA08,-31.9103,22.0729,1
XA,SA09,-30.9221,22.9861,1
XA,SA10,-30.9724,23.9136,1
XA,SA11,-29.965,20.9466,1
XA,SA12,-29.8486,22.2533,1
XA,SA13,-29.9788,23.1396,1
XA,SA139,-25.8519,26.2662,1
XA,SA14,-29.8682,24.0226,1
XA,SA15,-29.9038,25.0323,1
XA,SA155,-22.8786,28.3402,1
XA,SA16,-28.9503,22.1951,1
XA,SA169,-22.2623,29.2134,1
XA,SA17,-28.9321,23.2257,1
XA,SA18,-28.6328,24.3056,1
XA,SA19,-28.9056,24.8328,1
XA,SA20,-29.0221,26.1953,1
XA,SA22,-27.9662,22.0091,1
XA,SA23,-27.9304,23.4046,1
XA,SA24,-27.8833,24.2365,1
XA,SA25,-27.8459,25.1259,1
XA,SA26,-27.5456,26.1803,1
XA,SA27,-27.8625,27.2943,1
XA,SA28,-27.8982,28.0656,1
XA,SA29,-26.9317,23.0349,1
XA,SA30,-27.0715,24.1651,1
XA,SA31,-26.9952,25.0209,1
XA,SA32,-26.8655,26.2845,1
XA,SA33,-26.8986,27.1793,1
XA,SA34,-26.8,28.1,1
XA,SA35,-27.0183,29.0883,1
XA,SA36,-26.8771,30.1249,1
XA,SA37,-25.9705,23.7212,1
XA,SA38,-25.9334,25.0846,1
XA,SA39,-25.8952,26.1514,1
XA,SA40,-25.8981,27.149,1
XA,SA42,-25.665,29.2223,1
XA,SA43,-25.7868,30.0669,1
XA,SA44,-26.0321,30.9022,1
XA,SA45,-24.8792,26.1644,1
XA,SA46,-24.8382,27.1092,1
XA,SA47,-24.8469,28.1618,1
XA,SA48,-24.8948,29.2163,1
XA,SA49,-24.9597,30.3091,1
XA,SA50,-23.8722,27.1662,1
XA,SA51,-23.8628,28.1567,1
XA,SA52,-23.7983,28.8975,1
XA,SA53,-24.1134,29.3328,1
XA,SA54,-23.7288,30.668,1
XA,SA55,-22.98,28.2981,1
XA,SA56,-23.0059,29.0743,1
XA,SA57,-22.9811,30.0202,1
XA,SA58,-23.518,31.3973,1
XA,SA59,-24.8373,24.464,1
XA,SA60,-23.8519,24.9594,1
XA,SA61,-23.9481,24.022,1
XA,SA62,-24.8505,25.135,1
XA,SA63,-23.6583,26.082,1
XA,SA64,-22.9694,26.2017,1
XA,SA65,-22.8183,27.2218,1
XA,SA66,-21.9005,26.3727,1
XA,SA67,-21.8859,27.2736,1
XA,SA68,-21.9504,28.1878,1
XA,SA69,-22.3048,29.2661,1
XA,SA70,-21.0883,26.3352,1
XA,SA71,-20.9258,27.1408,1
XA,SA72,-20.143,28.6113,1
XA,SA73,-21.8537,30.2776,1
XA,SA74,-21.923,30.9357,1
XA,SA75,-20.8601,28.9991,1
XA,SA76,-20.6361,29.8464,1
XA,SA77,-20.7557,30.9191,1
XA,SA78,-19.4671,30.7723,1
XA,SA79,-20.0211,30.5173,1
XA,SA80,-19.9593,31.3179,1
XA,SA81,-30.9251,21.2681,1
XA,SA82,-30.9771,22.2466,1
XB,CM01,2.389,9.834,0
XB,CM02,2.698,13.289,1
XB,CM03,3.519,15.034,1
XB,CM04,2.979,11.959,1
XB,CM05,2.942,9.914,0
XB,CM06,2.385,11.268,1
XB,CM07,3.87,11.456,1
XB,CM08,3.909,9.863,1
XB,CM09,4.234,9.328,0
XB,CM10,4.223,10.619,1
XB,CM11,3.98,13.188,1
XB,CM12,4.481,11.634,1
XB,CM13,4.588,9.462,1
XB,CM14,4.422,14.358,1
XB,CM15,5.034,9.933,1
XB,CM16,5.48,10.572,1
XB,CM17,5.546,12.312,1
XB,CM18,5.723,9.355,1
XB,CM19,5.975,11.232,1
XB,CM20,6.225,10.054,1
XB,CM21,6.467,12.62,1
XB,CM22,6.477,13.268,1
XB,CM23,6.37,10.793,1
XB,CM24,6.523,14.288,1
XB,CM25,6.76,11.811,1
XB,CM26,7.265,13.548,1
XB,CM27,7.359,12.667,1
XB,CM28,8.469,13.237,1
XB,CM29,9.347,13.385,1
XB,CM30,9.757,13.95,1
XB,CM31,10.327,15.262,1
XB,CM32,10.619,14.372,1
XB,PM01,35.7016,-5.6543,1
XB,PM02,35.6101,-5.3471,1
XB,PM03,35.5104,-5.7713,1
XB,PM04,35.4026,-5.1525,1
XB,PM05,35.2134,-5.3368,1
XB,PM06,35.3086,-5.639,1
XB,PM07,35.2275,-4.9863,1
XB,PM08,35.1448,-4.7082,1
XB,PM09,35.0273,-5.1145,1
XB,PM10,34.7379,-5.1368,1
XB,PM11,34.9308,-4.3119,1
XB,PM12,34.8505,-4.6084,1
XB,PM13,34.6723,-4.9354,1
XB,PM14,34.5522,-5.1267,1
XB,PM15,34.4694,-4.6997,1
XB,PM16,35.1304,-3.6948,1
XB,PM17,34.3914,-5.2954,1
XB,PM18,34.15,-4.8195,1
XB,PM19,34.1427,-5.1308,1
XB,PM20,33.9064,-5.0329,1
XB,PM21,33.7205,-5.3197,1
XB,PM22,33.2947,-5.1071,1
XB,PM22B,33.3079,-5.1024,1
XB,PM23,33.128,-5.03,1
XB,PM24,32.9953,-4.8979,1
XB,PM25,32.8757,-4.888,1
XB,PM26,32.5245,-4.5659,1
XB,PM27,32.3499,-4.6537,1
XB,PM28,32.2317,-4.6171,1
XB,PM29,32.0844,-4.3913,1
XB,PM30,31.8634,-4.2718,1
XB,PM30A,31.823,-4.2715,1
XB,PM31,32.7063,-4.7195,1
XB,PM31A,32.7186,-4.739,1
XB,PM32,31.568,-4.1914,1
XB,PM33,31.4318,-4.2427,1
XB,PM33A,31.414,-4.2897,1
XB,PM34,31.2912,-4.1068,1
XB,PM35,31.0463,-3.9958,1
XB,PM36,34.8894,-3.7359,1
XB,PM37,34.9507,-3.1506,1
XB,PM38,34.8385,-2.8737,1
XB,PM39,34.889,-2.6104,1
XB,PM40,34.9075,-2.2104,1
